Rain	Period	Temp	RetLoss
4.3	62	78	17.3
4.3	62	78	15.8
4.5	68	78	17.6
4.5	68	78	18.9
4.3	74	78	15.0
4.3	74	78	15.8
6.1	71	78	18.1
6.1	71	78	17.6
5.6	78	78	18.7
5.6	78	78	18.7
5.6	85	77	17.9
5.6	85	77	19.2
6.1	69	76	18.4
6.1	69	76	16.7
5.5	76	76	18.1
5.5	76	76	17.5
5.0	83	76	16.3
5.0	83	76	19.1
5.6	70	76	19.4
5.6	70	76	17.5
5.2	77	76	17.6
5.2	77	76	18.3
4.8	84	75	19.5
4.8	84	75	18.7
3.8	63	77	12.7
3.8	63	77	16.8
3.4	70	76	17.0
3.4	70	76	15.8
3.6	77	75	16.1
3.6	77	75	19.4
3.9	63	73	17.3
3.9	63	73	16.1
5.1	70	71	18.4
5.1	70	71	16.1
5.9	77	70	17.3
5.9	77	70	18.2
4.9	63	68	16.1
4.9	63	68	15.0
4.6	70	68	15.9
4.6	70	68	14.3
4.8	77	66	14.6
4.8	77	66	14.9
4.9	56	66	16.5
4.9	56	66	14.2
5.1	63	65	15.8
5.1	63	65	15.5
5.4	70	63	19.5
5.4	70	63	19.4
6.5	49	62	15.3
6.5	49	62	18.8
6.8	56	60	17.4
6.8	56	60	18.7
6.2	63	60	17.6
6.2	63	60	17.6
