Yacht	Year	Days	Hours	Minutes	Time
Rani	1945	6	14	22	9502
Morna	1946	5	2	53	7373
Morna	1947	5	3	3	7383
Morna	1948	4	5	1	6061
WaltzingMatilda	1949	5	10	33	7833
MargaretRintoul	1950	5	5	28	7528
MargaretRintoul	1951	4	2	29	5909
Nocturne	1952	6	2	34	8794
Solveig	1953	5	7	12	7632
KurrewaIV	1954	5	6	9	7569
Even	1955	4	18	13	6853
KurrewaIV	1956	4	4	31	6031
KurrewaIV	1957	3	18	30	5430
Solo	1958	5	2	32	7352
Solo	1959	4	13	33	6573
KurrewaIV	1960	4	8	11	6251
Astor	1961	4	4	42	6042
Ondine	1962	3	3	46	4546
Astor	1963	4	10	53	6413
Astor	1964	3	20	5	5525
Stormvogel	1965	3	20	30	3930
Fidelis	1966	4	8	39	6279
PenDuickIII	1967	4	4	10	6010
OndineII	1968	4	30	20	7580
Crusade	1969	3	15	7	5227
Buccaneer	1970	3	14	6	5166
Kialoa	1971	3	12	46	5086
AmericanEagle	1972	3	4	42	4602
Helsal	1973	3	1	32	4412
OndineIII	1974	3	13	51	5151
Kialoa	1975	2	14	36	3756
Ballyhoo	1976	3	7	59	4799
KialoaII	1977	3	10	14	4934
Apollo	1978	4	2	23	5903
BumblebeeIV	1979	3	1	45	4425
NewZealand	1980	2	18	45	4005
Vengeance	1981	3	22	30	5670
CondorofBermuda	1982	3	0	59	4379
Condor	1983	3	0	50	4370
NewZealand	1984	3	11	21	5001
Apollo	1985	3	4	32	4592
CondorofBermuda	1986	2	23	26	4286
Sovereign	1987	2	21	58	4198
Ragamuffin	1988	3	15	29	5249
Drumbeat	1989	3	6	21	4701
Ragamuffin	1990	2	21	5	4145
Brindabella	1991	3	1	14	4394
NewZealandEndeavour	1992	2	19	19	4039
NinetySeven	1993	4	0	54	5814
Tasmania	1994	2	17	48	3948
Sayonara	1995	3	0	53	4373.6
MorningGlory	1996	2	14	7	3727.2
Brindabella	1997	2	23	37	4297.2
